Property_Id,Check_In_Date,Room_Category,Helper,Successful_Bookings,Capacity
19561,01-05-22,RT3,19561|44682|RT3,23,29
18562,01-05-22,RT3,18562|44682|RT3,28,29
17558,01-05-22,RT3,17558|44682|RT3,21,27
17562,01-05-22,RT3,17562|44682|RT3,15,27
19559,01-05-22,RT3,19559|44682|RT3,19,27
16559,01-05-22,RT3,16559|44682|RT3,27,32
17560,01-05-22,RT3,17560|44682|RT3,19,25
18561,01-05-22,RT3,18561|44682|RT3,23,25
16561,01-05-22,RT3,16561|44682|RT3,21,21
16563,01-05-22,RT3,16563|44682|RT3,17,20
17561,01-05-22,RT3,17561|44682|RT3,16,19
18558,01-05-22,RT3,18558|44682|RT3,18,26
18560,01-05-22,RT3,18560|44682|RT3,21,24
18563,01-05-22,RT3,18563|44682|RT3,16,23
19560,01-05-22,RT3,19560|44682|RT3,16,19
17564,01-05-22,RT3,17564|44682|RT3,16,24
16560,01-05-22,RT3,16560|44682|RT3,15,20
16558,01-05-22,RT3,16558|44682|RT3,8,8
19558,01-05-22,RT3,19558|44682|RT3,13,21
16562,01-05-22,RT3,16562|44682|RT3,14,18
17559,01-05-22,RT3,17559|44682|RT3,14,16
17563,01-05-22,RT3,17563|44682|RT3,14,16
18559,01-05-22,RT3,18559|44682|RT3,14,23
19559,01-05-22,RT4,19559|44682|RT4,2,3
16562,01-05-22,RT4,16562|44682|RT4,4,6
17558,01-05-22,RT4,17558|44682|RT4,4,6
17562,01-05-22,RT4,17562|44682|RT4,4,6
19563,01-05-22,RT4,19563|44682|RT4,4,6
19558,01-05-22,RT4,19558|44682|RT4,4,7
19561,01-05-22,RT4,19561|44682|RT4,5,7
16560,01-05-22,RT4,16560|44682|RT4,6,7
16561,01-05-22,RT4,16561|44682|RT4,9,10
17560,01-05-22,RT4,17560|44682|RT4,10,13
18561,01-05-22,RT4,18561|44682|RT4,8,9
17564,01-05-22,RT4,17564|44682|RT4,9,17
18560,01-05-22,RT4,18560|44682|RT4,14,15
19560,01-05-22,RT4,19560|44682|RT4,15,16
18559,01-05-22,RT4,18559|44682|RT4,11,19
17563,01-05-22,RT4,17563|44682|RT4,17,19
19562,01-05-22,RT4,19562|44682|RT4,13,14
17559,01-05-22,RT4,17559|44682|RT4,13,14
18558,01-05-22,RT4,18558|44682|RT4,14,20
18562,01-05-22,RT4,18562|44682|RT4,19,20
18563,01-05-22,RT4,18563|44682|RT4,13,18
16563,01-05-22,RT4,16563|44682|RT4,17,18
16559,01-05-22,RT4,16559|44682|RT4,17,18
17561,01-05-22,RT4,17561|44682|RT4,3,4
16558,01-05-22,RT4,16558|44682|RT4,3,3
16559,02-05-22,RT1,16559|44683|RT1,20,30
18560,02-05-22,RT1,18560|44683|RT1,21,30
19562,02-05-22,RT1,19562|44683|RT1,20,30
19563,02-05-22,RT1,19563|44683|RT1,14,30
17558,02-05-22,RT1,17558|44683|RT1,10,19
16558,02-05-22,RT1,16558|44683|RT1,12,19
17560,02-05-22,RT1,17560|44683|RT1,22,40
19558,02-05-22,RT1,19558|44683|RT1,16,40
19560,02-05-22,RT1,19560|44683|RT1,14,26
17561,02-05-22,RT1,17561|44683|RT1,15,26
16560,02-05-22,RT1,16560|44683|RT1,17,34
16561,02-05-22,RT1,16561|44683|RT1,11,18
16562,02-05-22,RT1,16562|44683|RT1,17,31
16563,02-05-22,RT1,16563|44683|RT1,25,41
17559,02-05-22,RT1,17559|44683|RT1,20,32
17562,02-05-22,RT1,17562|44683|RT1,9,20
17563,02-05-22,RT1,17563|44683|RT1,15,25
18558,02-05-22,RT1,18558|44683|RT1,8,15
18559,02-05-22,RT1,18559|44683|RT1,17,42
18561,02-05-22,RT1,18561|44683|RT1,24,33
18562,02-05-22,RT1,18562|44683|RT1,22,38
18563,02-05-22,RT1,18563|44683|RT1,14,27
19559,02-05-22,RT1,19559|44683|RT1,13,24
19561,02-05-22,RT1,19561|44683|RT1,20,36
17564,02-05-22,RT1,17564|44683|RT1,7,16
19562,02-05-22,RT2,19562|44683|RT2,15,23
18563,02-05-22,RT2,18563|44683|RT2,15,29
17561,02-05-22,RT2,17561|44683|RT2,23,36
17558,02-05-22,RT2,17558|44683|RT2,27,50
16562,02-05-22,RT2,16562|44683|RT2,21,43
16561,02-05-22,RT2,16561|44683|RT2,16,24
16558,02-05-22,RT2,16558|44683|RT2,14,22
19560,02-05-22,RT2,19560|44683|RT2,21,38
16563,02-05-22,RT2,16563|44683|RT2,23,38
16559,02-05-22,RT2,16559|44683|RT2,23,41
19559,02-05-22,RT2,19559|44683|RT2,19,41
19558,02-05-22,RT2,19558|44683|RT2,17,39
17559,02-05-22,RT2,17559|44683|RT2,26,39
16560,02-05-22,RT2,16560|44683|RT2,17,34
18562,02-05-22,RT2,18562|44683|RT2,17,34
18559,02-05-22,RT2,18559|44683|RT2,18,44
17563,02-05-22,RT2,17563|44683|RT2,28,44
17562,02-05-22,RT2,17562|44683|RT2,14,30
18558,02-05-22,RT2,18558|44683|RT2,14,30
17564,02-05-22,RT2,17564|44683|RT2,16,40
18561,02-05-22,RT2,18561|44683|RT2,25,40
18560,02-05-22,RT2,18560|44683|RT2,26,40
17560,02-05-22,RT2,17560|44683|RT2,23,45
19561,02-05-22,RT2,19561|44683|RT2,22,45
19563,02-05-22,RT2,19563|44683|RT2,20,45
19563,02-05-22,RT3,19563|44683|RT3,14,29
19562,02-05-22,RT3,19562|44683|RT3,18,29
19561,02-05-22,RT3,19561|44683|RT3,17,29
18562,02-05-22,RT3,18562|44683|RT3,18,29
17558,02-05-22,RT3,17558|44683|RT3,12,27
17562,02-05-22,RT3,17562|44683|RT3,12,27
19559,02-05-22,RT3,19559|44683|RT3,14,27
16559,02-05-22,RT3,16559|44683|RT3,20,32
16558,02-05-22,RT3,16558|44683|RT3,5,8
18561,02-05-22,RT3,18561|44683|RT3,18,25
18558,02-05-22,RT3,18558|44683|RT3,15,26
16561,02-05-22,RT3,16561|44683|RT3,13,21
16563,02-05-22,RT3,16563|44683|RT3,13,20
17560,02-05-22,RT3,17560|44683|RT3,13,25
18560,02-05-22,RT3,18560|44683|RT3,14,24
17559,02-05-22,RT3,17559|44683|RT3,9,16
17563,02-05-22,RT3,17563|44683|RT3,9,16
18559,02-05-22,RT3,18559|44683|RT3,9,23
19558,02-05-22,RT3,19558|44683|RT3,9,21
17564,02-05-22,RT3,17564|44683|RT3,9,24
16560,02-05-22,RT3,16560|44683|RT3,10,20
17561,02-05-22,RT3,17561|44683|RT3,10,19
16562,02-05-22,RT3,16562|44683|RT3,11,18
18563,02-05-22,RT3,18563|44683|RT3,11,23
19560,02-05-22,RT3,19560|44683|RT3,11,19
19559,02-05-22,RT4,19559|44683|RT4,2,3
16558,02-05-22,RT4,16558|44683|RT4,2,3
17558,02-05-22,RT4,17558|44683|RT4,4,6
19563,02-05-22,RT4,19563|44683|RT4,4,6
19558,02-05-22,RT4,19558|44683|RT4,4,7
19561,02-05-22,RT4,19561|44683|RT4,4,7
18561,02-05-22,RT4,18561|44683|RT4,5,9
16561,02-05-22,RT4,16561|44683|RT4,6,10
17560,02-05-22,RT4,17560|44683|RT4,6,13
17564,02-05-22,RT4,17564|44683|RT4,6,17
18560,02-05-22,RT4,18560|44683|RT4,11,15
19560,02-05-22,RT4,19560|44683|RT4,11,16
18559,02-05-22,RT4,18559|44683|RT4,9,19
17563,02-05-22,RT4,17563|44683|RT4,12,19
19562,02-05-22,RT4,19562|44683|RT4,8,14
17559,02-05-22,RT4,17559|44683|RT4,8,14
18558,02-05-22,RT4,18558|44683|RT4,10,20
18562,02-05-22,RT4,18562|44683|RT4,12,20
18563,02-05-22,RT4,18563|44683|RT4,11,18
16563,02-05-22,RT4,16563|44683|RT4,12,18
16559,02-05-22,RT4,16559|44683|RT4,12,18
16562,02-05-22,RT4,16562|44683|RT4,3,6
17562,02-05-22,RT4,17562|44683|RT4,3,6
16560,02-05-22,RT4,16560|44683|RT4,3,7
17561,02-05-22,RT4,17561|44683|RT4,3,4
19563,03-05-22,RT3,19563|44684|RT3,15,29
16559,03-05-22,RT1,16559|44684|RT1,17,30
18560,03-05-22,RT1,18560|44684|RT1,19,30
19562,03-05-22,RT1,19562|44684|RT1,19,30
19563,03-05-22,RT1,19563|44684|RT1,15,30
17558,03-05-22,RT1,17558|44684|RT1,9,19
16558,03-05-22,RT1,16558|44684|RT1,14,19
17560,03-05-22,RT1,17560|44684|RT1,19,40
19558,03-05-22,RT1,19558|44684|RT1,20,40
19560,03-05-22,RT1,19560|44684|RT1,14,26
17561,03-05-22,RT1,17561|44684|RT1,16,26
16560,03-05-22,RT1,16560|44684|RT1,19,34
16561,03-05-22,RT1,16561|44684|RT1,10,18
16562,03-05-22,RT1,16562|44684|RT1,14,31
16563,03-05-22,RT1,16563|44684|RT1,25,41
17559,03-05-22,RT1,17559|44684|RT1,20,32
17562,03-05-22,RT1,17562|44684|RT1,10,20
17563,03-05-22,RT1,17563|44684|RT1,16,25
18558,03-05-22,RT1,18558|44684|RT1,8,15
18559,03-05-22,RT1,18559|44684|RT1,18,42
18561,03-05-22,RT1,18561|44684|RT1,19,33
18562,03-05-22,RT1,18562|44684|RT1,23,38
18563,03-05-22,RT1,18563|44684|RT1,13,27
19559,03-05-22,RT1,19559|44684|RT1,12,24
19561,03-05-22,RT1,19561|44684|RT1,20,36
17564,03-05-22,RT1,17564|44684|RT1,6,16
19562,03-05-22,RT2,19562|44684|RT2,14,23
18563,03-05-22,RT2,18563|44684|RT2,14,29
17561,03-05-22,RT2,17561|44684|RT2,23,36
17558,03-05-22,RT2,17558|44684|RT2,26,50
16562,03-05-22,RT2,16562|44684|RT2,19,43
16561,03-05-22,RT2,16561|44684|RT2,16,24
16558,03-05-22,RT2,16558|44684|RT2,14,22
19560,03-05-22,RT2,19560|44684|RT2,25,38
16563,03-05-22,RT2,16563|44684|RT2,24,38
16559,03-05-22,RT2,16559|44684|RT2,26,41
19559,03-05-22,RT2,19559|44684|RT2,22,41
19558,03-05-22,RT2,19558|44684|RT2,16,39
17559,03-05-22,RT2,17559|44684|RT2,24,39
16560,03-05-22,RT2,16560|44684|RT2,16,34
18562,03-05-22,RT2,18562|44684|RT2,22,34
18559,03-05-22,RT2,18559|44684|RT2,19,44
17563,03-05-22,RT2,17563|44684|RT2,30,44
17562,03-05-22,RT2,17562|44684|RT2,15,30
18558,03-05-22,RT2,18558|44684|RT2,16,30
17564,03-05-22,RT2,17564|44684|RT2,16,40
18561,03-05-22,RT2,18561|44684|RT2,25,40
18560,03-05-22,RT2,18560|44684|RT2,25,40
17560,03-05-22,RT2,17560|44684|RT2,22,45
19561,03-05-22,RT2,19561|44684|RT2,21,45
19563,03-05-22,RT2,19563|44684|RT2,23,45
19562,03-05-22,RT3,19562|44684|RT3,18,29
19561,03-05-22,RT3,19561|44684|RT3,14,29
18562,03-05-22,RT3,18562|44684|RT3,17,29
17558,03-05-22,RT3,17558|44684|RT3,15,27
17562,03-05-22,RT3,17562|44684|RT3,12,27
19559,03-05-22,RT3,19559|44684|RT3,14,27
16559,03-05-22,RT3,16559|44684|RT3,21,32
16558,03-05-22,RT3,16558|44684|RT3,5,8
18561,03-05-22,RT3,18561|44684|RT3,15,25
18560,03-05-22,RT3,18560|44684|RT3,15,24
16562,03-05-22,RT3,16562|44684|RT3,8,18
16561,03-05-22,RT3,16561|44684|RT3,13,21
16563,03-05-22,RT3,16563|44684|RT3,13,20
18558,03-05-22,RT3,18558|44684|RT3,13,26
18559,03-05-22,RT3,18559|44684|RT3,9,23
19558,03-05-22,RT3,19558|44684|RT3,9,21
16560,03-05-22,RT3,16560|44684|RT3,10,20
17559,03-05-22,RT3,17559|44684|RT3,10,16
17563,03-05-22,RT3,17563|44684|RT3,10,16
17561,03-05-22,RT3,17561|44684|RT3,12,19
19560,03-05-22,RT3,19560|44684|RT3,12,19
17560,03-05-22,RT3,17560|44684|RT3,11,25
18563,03-05-22,RT3,18563|44684|RT3,11,23
17564,03-05-22,RT3,17564|44684|RT3,11,24
17562,03-05-22,RT4,17562|44684|RT4,2,6
16558,03-05-22,RT4,16558|44684|RT4,2,3
19563,03-05-22,RT4,19563|44684|RT4,4,6
19561,03-05-22,RT4,19561|44684|RT4,4,7
18561,03-05-22,RT4,18561|44684|RT4,5,9
16561,03-05-22,RT4,16561|44684|RT4,7,10
17560,03-05-22,RT4,17560|44684|RT4,7,13
19559,03-05-22,RT4,19559|44684|RT4,1,3
17564,03-05-22,RT4,17564|44684|RT4,7,17
18560,03-05-22,RT4,18560|44684|RT4,9,15
19560,03-05-22,RT4,19560|44684|RT4,10,16
18559,03-05-22,RT4,18559|44684|RT4,9,19
17563,03-05-22,RT4,17563|44684|RT4,11,19
19562,03-05-22,RT4,19562|44684|RT4,9,14
17559,03-05-22,RT4,17559|44684|RT4,10,14
18558,03-05-22,RT4,18558|44684|RT4,10,20
18562,03-05-22,RT4,18562|44684|RT4,12,20
18563,03-05-22,RT4,18563|44684|RT4,8,18
16563,03-05-22,RT4,16563|44684|RT4,11,18
16559,03-05-22,RT4,16559|44684|RT4,11,18
16562,03-05-22,RT4,16562|44684|RT4,3,6
17558,03-05-22,RT4,17558|44684|RT4,3,6
16560,03-05-22,RT4,16560|44684|RT4,3,7
19558,03-05-22,RT4,19558|44684|RT4,3,7
17561,03-05-22,RT4,17561|44684|RT4,3,4
19563,04-05-22,RT3,19563|44685|RT3,15,29
18560,04-05-22,RT1,18560|44685|RT1,20,30
19562,04-05-22,RT1,19562|44685|RT1,17,30
19563,04-05-22,RT1,19563|44685|RT1,14,30
17558,04-05-22,RT1,17558|44685|RT1,9,19
16558,04-05-22,RT1,16558|44685|RT1,13,19
17560,04-05-22,RT1,17560|44685|RT1,22,40
19558,04-05-22,RT1,19558|44685|RT1,15,40
19560,04-05-22,RT1,19560|44685|RT1,16,26
17561,04-05-22,RT1,17561|44685|RT1,15,26
16560,04-05-22,RT1,16560|44685|RT1,17,34
16561,04-05-22,RT1,16561|44685|RT1,11,18
16562,04-05-22,RT1,16562|44685|RT1,16,31
16563,04-05-22,RT1,16563|44685|RT1,28,41
17559,04-05-22,RT1,17559|44685|RT1,19,32
17562,04-05-22,RT1,17562|44685|RT1,9,20
17563,04-05-22,RT1,17563|44685|RT1,16,25
18558,04-05-22,RT1,18558|44685|RT1,7,15
18559,04-05-22,RT1,18559|44685|RT1,18,42
18561,04-05-22,RT1,18561|44685|RT1,22,33
18562,04-05-22,RT1,18562|44685|RT1,25,38
18563,04-05-22,RT1,18563|44685|RT1,16,27
19559,04-05-22,RT1,19559|44685|RT1,12,24
19561,04-05-22,RT1,19561|44685|RT1,16,36
17564,04-05-22,RT1,17564|44685|RT1,7,16
19562,04-05-22,RT2,19562|44685|RT2,14,23
18563,04-05-22,RT2,18563|44685|RT2,16,29
17561,04-05-22,RT2,17561|44685|RT2,21,36
17558,04-05-22,RT2,17558|44685|RT2,27,50
16562,04-05-22,RT2,16562|44685|RT2,21,43
16561,04-05-22,RT2,16561|44685|RT2,15,24
16558,04-05-22,RT2,16558|44685|RT2,14,22
19560,04-05-22,RT2,19560|44685|RT2,21,38
16563,04-05-22,RT2,16563|44685|RT2,23,38
16559,04-05-22,RT2,16559|44685|RT2,28,41
19559,04-05-22,RT2,19559|44685|RT2,22,41
19558,04-05-22,RT2,19558|44685|RT2,18,39
17559,04-05-22,RT2,17559|44685|RT2,23,39
16560,04-05-22,RT2,16560|44685|RT2,20,34
18562,04-05-22,RT2,18562|44685|RT2,22,34
18559,04-05-22,RT2,18559|44685|RT2,19,44
17563,04-05-22,RT2,17563|44685|RT2,29,44
17562,04-05-22,RT2,17562|44685|RT2,11,30
18558,04-05-22,RT2,18558|44685|RT2,16,30
17564,04-05-22,RT2,17564|44685|RT2,18,40
18561,04-05-22,RT2,18561|44685|RT2,25,40
18560,04-05-22,RT2,18560|44685|RT2,28,40
17560,04-05-22,RT2,17560|44685|RT2,20,45
19561,04-05-22,RT2,19561|44685|RT2,21,45
19563,04-05-22,RT2,19563|44685|RT2,20,45
16559,04-05-22,RT1,16559|44685|RT1,21,30
19562,04-05-22,RT3,19562|44685|RT3,20,29
19561,04-05-22,RT3,19561|44685|RT3,13,29
18562,04-05-22,RT3,18562|44685|RT3,16,29
17558,04-05-22,RT3,17558|44685|RT3,12,27
17562,04-05-22,RT3,17562|44685|RT3,9,27
19559,04-05-22,RT3,19559|44685|RT3,14,27
16559,04-05-22,RT3,16559|44685|RT3,19,32
16558,04-05-22,RT3,16558|44685|RT3,6,8
18561,04-05-22,RT3,18561|44685|RT3,16,25
18560,04-05-22,RT3,18560|44685|RT3,17,24
17563,04-05-22,RT3,17563|44685|RT3,8,16
17564,04-05-22,RT3,17564|44685|RT3,8,24
16561,04-05-22,RT3,16561|44685|RT3,14,21
17560,04-05-22,RT3,17560|44685|RT3,14,25
18558,04-05-22,RT3,18558|44685|RT3,14,26
19558,04-05-22,RT3,19558|44685|RT3,9,21
16560,04-05-22,RT3,16560|44685|RT3,10,20
17561,04-05-22,RT3,17561|44685|RT3,10,19
18559,04-05-22,RT3,18559|44685|RT3,10,23
16563,04-05-22,RT3,16563|44685|RT3,12,20
17559,04-05-22,RT3,17559|44685|RT3,12,16
16562,04-05-22,RT3,16562|44685|RT3,11,18
18563,04-05-22,RT3,18563|44685|RT3,11,23
19560,04-05-22,RT3,19560|44685|RT3,11,19
17562,04-05-22,RT4,17562|44685|RT4,2,6
19559,04-05-22,RT4,19559|44685|RT4,2,3
16558,04-05-22,RT4,16558|44685|RT4,2,3
18561,04-05-22,RT4,18561|44685|RT4,4,9
16561,04-05-22,RT4,16561|44685|RT4,5,10
17560,04-05-22,RT4,17560|44685|RT4,6,13
17564,04-05-22,RT4,17564|44685|RT4,9,17
18560,04-05-22,RT4,18560|44685|RT4,10,15
19560,04-05-22,RT4,19560|44685|RT4,11,16
18559,04-05-22,RT4,18559|44685|RT4,8,19
17563,04-05-22,RT4,17563|44685|RT4,11,19
19562,04-05-22,RT4,19562|44685|RT4,8,14
17559,04-05-22,RT4,17559|44685|RT4,9,14
18558,04-05-22,RT4,18558|44685|RT4,11,20
18562,04-05-22,RT4,18562|44685|RT4,12,20
18563,04-05-22,RT4,18563|44685|RT4,8,18
16563,04-05-22,RT4,16563|44685|RT4,12,18
16559,04-05-22,RT4,16559|44685|RT4,11,18
16562,04-05-22,RT4,16562|44685|RT4,3,6
17558,04-05-22,RT4,17558|44685|RT4,3,6
19563,04-05-22,RT4,19563|44685|RT4,3,6
16560,04-05-22,RT4,16560|44685|RT4,3,7
19558,04-05-22,RT4,19558|44685|RT4,3,7
19561,04-05-22,RT4,19561|44685|RT4,3,7
17561,04-05-22,RT4,17561|44685|RT4,3,4
16559,05-05-22,RT1,16559|44686|RT1,16,30
18560,05-05-22,RT1,18560|44686|RT1,15,30
19562,05-05-22,RT1,19562|44686|RT1,19,30
19563,05-05-22,RT1,19563|44686|RT1,14,30
17558,05-05-22,RT1,17558|44686|RT1,10,19
16558,05-05-22,RT1,16558|44686|RT1,12,19
17560,05-05-22,RT1,17560|44686|RT1,20,40
19558,05-05-22,RT1,19558|44686|RT1,18,40
19560,05-05-22,RT1,19560|44686|RT1,18,26
17561,05-05-22,RT1,17561|44686|RT1,15,26
16560,05-05-22,RT1,16560|44686|RT1,17,34
16561,05-05-22,RT1,16561|44686|RT1,13,18
16562,05-05-22,RT1,16562|44686|RT1,15,31
16563,05-05-22,RT1,16563|44686|RT1,30,41
17559,05-05-22,RT1,17559|44686|RT1,21,32
17562,05-05-22,RT1,17562|44686|RT1,8,20
17563,05-05-22,RT1,17563|44686|RT1,18,25
18558,05-05-22,RT1,18558|44686|RT1,8,15
18559,05-05-22,RT1,18559|44686|RT1,16,42
18561,05-05-22,RT1,18561|44686|RT1,25,33
18562,05-05-22,RT1,18562|44686|RT1,24,38
18563,05-05-22,RT1,18563|44686|RT1,14,27
19559,05-05-22,RT1,19559|44686|RT1,13,24
19561,05-05-22,RT1,19561|44686|RT1,17,36
17564,05-05-22,RT1,17564|44686|RT1,6,16
19562,05-05-22,RT2,19562|44686|RT2,15,23
18563,05-05-22,RT2,18563|44686|RT2,14,29
17561,05-05-22,RT2,17561|44686|RT2,25,36
17558,05-05-22,RT2,17558|44686|RT2,29,50
16562,05-05-22,RT2,16562|44686|RT2,20,43
16561,05-05-22,RT2,16561|44686|RT2,15,24
16558,05-05-22,RT2,16558|44686|RT2,13,22
19560,05-05-22,RT2,19560|44686|RT2,27,38
16563,05-05-22,RT2,16563|44686|RT2,25,38
16559,05-05-22,RT2,16559|44686|RT2,24,41
19559,05-05-22,RT2,19559|44686|RT2,23,41
19558,05-05-22,RT2,19558|44686|RT2,20,39
17559,05-05-22,RT2,17559|44686|RT2,26,39
16560,05-05-22,RT2,16560|44686|RT2,19,34
18562,05-05-22,RT2,18562|44686|RT2,22,34
18559,05-05-22,RT2,18559|44686|RT2,22,44
17563,05-05-22,RT2,17563|44686|RT2,28,44
17562,05-05-22,RT2,17562|44686|RT2,13,30
18558,05-05-22,RT2,18558|44686|RT2,15,30
17564,05-05-22,RT2,17564|44686|RT2,18,40
18561,05-05-22,RT2,18561|44686|RT2,26,40
18560,05-05-22,RT2,18560|44686|RT2,26,40
17560,05-05-22,RT2,17560|44686|RT2,20,45
19561,05-05-22,RT2,19561|44686|RT2,21,45
19563,05-05-22,RT2,19563|44686|RT2,22,45
19563,05-05-22,RT3,19563|44686|RT3,14,29
19562,05-05-22,RT3,19562|44686|RT3,19,29
19561,05-05-22,RT3,19561|44686|RT3,14,29
18562,05-05-22,RT3,18562|44686|RT3,18,29
17558,05-05-22,RT3,17558|44686|RT3,14,27
17562,05-05-22,RT3,17562|44686|RT3,11,27
19559,05-05-22,RT3,19559|44686|RT3,14,27
16559,05-05-22,RT3,16559|44686|RT3,20,32
16558,05-05-22,RT3,16558|44686|RT3,4,8
18561,05-05-22,RT3,18561|44686|RT3,15,25
18560,05-05-22,RT3,18560|44686|RT3,16,24
17560,05-05-22,RT3,17560|44686|RT3,13,25
16563,05-05-22,RT3,16563|44686|RT3,14,20
16562,05-05-22,RT3,16562|44686|RT3,9,18
19558,05-05-22,RT3,19558|44686|RT3,9,21
16560,05-05-22,RT3,16560|44686|RT3,10,20
17559,05-05-22,RT3,17559|44686|RT3,10,16
17563,05-05-22,RT3,17563|44686|RT3,10,16
18559,05-05-22,RT3,18559|44686|RT3,10,23
16561,05-05-22,RT3,16561|44686|RT3,12,21
18558,05-05-22,RT3,18558|44686|RT3,12,26
19560,05-05-22,RT3,19560|44686|RT3,12,19
17564,05-05-22,RT3,17564|44686|RT3,12,24
17561,05-05-22,RT3,17561|44686|RT3,11,19
18563,05-05-22,RT3,18563|44686|RT3,11,23
19559,05-05-22,RT4,19559|44686|RT4,2,3
16558,05-05-22,RT4,16558|44686|RT4,2,3
16560,05-05-22,RT4,16560|44686|RT4,4,7
19561,05-05-22,RT4,19561|44686|RT4,4,7
18561,05-05-22,RT4,18561|44686|RT4,5,9
16561,05-05-22,RT4,16561|44686|RT4,6,10
17560,05-05-22,RT4,17560|44686|RT4,6,13
17564,05-05-22,RT4,17564|44686|RT4,7,17
18560,05-05-22,RT4,18560|44686|RT4,10,15
19560,05-05-22,RT4,19560|44686|RT4,10,16
18559,05-05-22,RT4,18559|44686|RT4,8,19
17563,05-05-22,RT4,17563|44686|RT4,12,19
19562,05-05-22,RT4,19562|44686|RT4,9,14
17559,05-05-22,RT4,17559|44686|RT4,8,14
18558,05-05-22,RT4,18558|44686|RT4,11,20
18562,05-05-22,RT4,18562|44686|RT4,12,20
18563,05-05-22,RT4,18563|44686|RT4,10,18
16563,05-05-22,RT4,16563|44686|RT4,12,18
16559,05-05-22,RT4,16559|44686|RT4,13,18
16562,05-05-22,RT4,16562|44686|RT4,3,6
17558,05-05-22,RT4,17558|44686|RT4,3,6
17562,05-05-22,RT4,17562|44686|RT4,3,6
19563,05-05-22,RT4,19563|44686|RT4,3,6
19558,05-05-22,RT4,19558|44686|RT4,3,7
17561,05-05-22,RT4,17561|44686|RT4,3,4
16559,06-05-22,RT1,16559|44687|RT1,21,30
18560,06-05-22,RT1,18560|44687|RT1,20,30
19562,06-05-22,RT1,19562|44687|RT1,18,30
19563,06-05-22,RT1,19563|44687|RT1,15,30
17558,06-05-22,RT1,17558|44687|RT1,9,19
16558,06-05-22,RT1,16558|44687|RT1,10,19
17560,06-05-22,RT1,17560|44687|RT1,18,40
19558,06-05-22,RT1,19558|44687|RT1,18,40
19560,06-05-22,RT1,19560|44687|RT1,17,26
17561,06-05-22,RT1,17561|44687|RT1,16,26
16560,06-05-22,RT1,16560|44687|RT1,19,34
16561,06-05-22,RT1,16561|44687|RT1,12,18
16562,06-05-22,RT1,16562|44687|RT1,14,31
16563,06-05-22,RT1,16563|44687|RT1,23,41
17559,06-05-22,RT1,17559|44687|RT1,19,32
